seg_id,quote,quote_en,code1,odr,privacy_direction,privacy_relation,strength,doc_id,page,source,model,jur,v5_verdict,code_v5,v5_stage_a,v5_evidence,v5_confidence,doc_nature,doc_token_stance,doc_prog_stance,doc_rem_stance,code_v5r,reconcile_flag,prog_delegated_private
V9-00011,the government would pass laws making the digital florin a legal tender,the government would pass laws making the digital florin a legal tender,TECH.PROG,proposal,neutral,not_applicable,2,AW_ARU_001,90,llm_union_v9,claude-sonnet-4-6,AW,keep,LEGAL.basis,commitment,the government would pass laws making the digital florin a legal tender,0.75,research,considering,considering,considering,LEGAL.basis,,False
V9-00012,"Such an outcome would also benefit national risk assessments, easing access to correspondent banking arrangements.","Such an outcome would also benefit national risk assessments, easing access to correspondent banking arrangements.",AML.RISK,proposal,neutral,not_applicable,1,AW_ARU_001,106,llm_union_v9,claude-sonnet-4-6,AW,keep,AML.RISK,,,,research,considering,considering,considering,AML.RISK,,False
V9-00013,"Depending on the CBDC design (interest-bearing or not, e.g.) and country-specific characteristics … commercial banks funded mainly by retail deposits may face competition from a CBDC.","Depending on the CBDC design (interest-bearing or not, e.g.) and country-specific characteristics, commercial banks funded mainly by retail deposits may face competition from a CBDC.",TECH.PROG,proposal,neutral,not_applicable,1,AW_ARU_001,106,llm_union_v9,claude-sonnet-4-6,AW,drop,,generic_theory,,0.8,research,considering,considering,considering,,,False
V9-00014,"As shown in Section 6, not all the benefits hold in the Aruban economic context or can be mitigated by a CBDC design.","As shown in Section 6, not all the benefits hold in the Aruban economic context or can be mitigated by a CBDC design.",NONE.irrelevant,proposal,neutral,not_applicable,1,AW_ARU_001,106,llm_union_v9,claude-sonnet-4-6,AW,keep,OTHER.keep,consideration,not all the benefits hold in the Aruban economic context or can be mitigated by a CBDC design,0.65,research,considering,considering,considering,OTHER.keep,,False
V9-00015,"This feature allows the authorities to detect counterfeit tokens and, potentially, restore value if a user loses their mobile wallet.","This feature allows the authorities to detect counterfeit tokens and, potentially, restore value if a user loses their mobile wallet.",AML.MON,proposal,decreases,from_state,2,AW_ARU_001,100,llm_union_v9,claude-sonnet-4-6,AW,keep,AML.MON,,,,research,considering,considering,considering,AML.MON,,False
V9-00016,"the mobile wallets connect to the central ledger to verify identities, record transactions, and reconcile balances.","the mobile wallets connect to the central ledger to verify identities, record transactions, and reconcile balances.",TECH.ARCH.token,proposal,decreases,from_state,2,AW_ARU_001,100,llm_union_v9,claude-sonnet-4-6,AW,keep,OTHER.keep,commitment,"the mobile wallets connect to the central ledger to verify identities, record transactions, and reconcile balances",0.72,research,considering,considering,considering,OTHER.keep,,False
V9-00017,Central banks' decisions on who (and how people) can access their retail CBDCs dictate cross-border capabilities,Central banks' decisions on who (and how people) can access their retail CBDCs dictate cross-border capabilities,KYC.IDV,decision,conditional,from_state,2,AW_ARU_001,100,llm_union_v9,claude-sonnet-4-6,AW,keep,KYC.IDV,,,,research,considering,considering,considering,KYC.IDV,,False
V9-00018,"By providing access to an attractive (digital) currency, central banks can reduce the likelihood that other currencies will sway public adoption","By providing access to an attractive (digital) currency, central banks can reduce the likelihood that other currencies will sway public adoption",NONE.irrelevant,proposal,neutral,not_applicable,1,AW_ARU_001,104,llm_union_v9,claude-sonnet-4-6,AW,drop,,generic_theory,,0.85,research,considering,considering,considering,,,False
V9-00019,"retail bank deposits are not yet insulated from loss by a deposit insurance scheme. In short, a retail CBDC offers people another type of money backed by a trusted entity.","retail bank deposits are not yet insulated from loss by a deposit insurance scheme. In short, a retail CBDC offers people another type of money backed by a trusted entity.",NONE.irrelevant,proposal,neutral,not_applicable,1,AW_ARU_001,104,llm_union_v9,claude-sonnet-4-6,AW,drop,,generic_theory,,0.82,research,considering,considering,considering,,,False
V9-00020,a retail CBDC must keep the payment system running when network failures or power outages occur. A retail CBDC can meet this condition by having offline features to a retail CBDC.,a retail CBDC must keep the payment system running when network failures or power outages occur. A retail CBDC can meet this condition by having offline features to a retail CBDC.,PRIV.OFF,proposal,neutral,not_applicable,2,AW_ARU_001,104,llm_union_v9,claude-sonnet-4-6,AW,keep,PRIV.OFF,,,,research,considering,considering,considering,PRIV.OFF,,False
V9-00021,some suggest the introduction of a retail CBDC because of the payment innovations associated with DLT,some suggest the introduction of a retail CBDC because of the payment innovations associated with DLT,TECH.DLT,proposal,neutral,not_applicable,1,AW_ARU_001,105,llm_union_v9,claude-sonnet-4-6,AW,keep,TECH.DLT,,,,research,considering,considering,considering,TECH.DLT,,False
V9-00022,Payment resilience (offline features). Cybersecurity risks (privacy).,Payment resilience (offline features). Cybersecurity risks (privacy).,PRIV.OFF,proposal,conditional,from_state,2,AW_ARU_001,109,llm_union_v9,claude-sonnet-4-6,AW,keep,PRIV.OFF,,,,research,considering,considering,considering,PRIV.OFF,,False
V9-00023,"The transition from unbanked to banked (permissioned DLT, offline features, privacy recognition).","The transition from unbanked to banked (permissioned DLT, offline features, privacy recognition).",TECH.DLT,proposal,increases,from_state,2,AW_ARU_001,109,llm_union_v9,claude-sonnet-4-6,AW,keep,TECH.DLT,,,,research,considering,considering,considering,TECH.DLT,,False
V9-00024,Adaptability to dynamic consumer needs (indirect or hybrid CBDC).,Adaptability to dynamic consumer needs (indirect or hybrid CBDC).,KYC.INTERMED,proposal,neutral,not_applicable,1,AW_ARU_001,109,llm_union_v9,claude-sonnet-4-6,AW,keep,KYC.INTERMED,,,,research,considering,considering,considering,KYC.INTERMED,,False
V9-00025,Payment resilience (offline features).,Payment resilience (offline features).,TECH.ARCH.token,proposal,neutral,not_applicable,1,AW_ARU_001,110,llm_union_v9,claude-sonnet-4-6,AW,keep,OTHER.keep,consideration,Payment resilience (offline features).,0.72,research,considering,considering,considering,OTHER.keep,,False
V9-00026,"To reach a financial access level of advanced economies, the retail CBDC would need attractive features. Such features are permissioned DLT, some extent of privacy, offline abilities, and one-to-one conversion between commercial bank deposits and CBDC","To reach a financial access level of advanced economies, the retail CBDC would need attractive features. Such features are permissioned DLT, some extent of privacy, offline abilities, and one-to-one conversion between commercial bank deposits and CBDC",TECH.DLT,proposal,conditional,not_applicable,2,AW_ARU_001,113,llm_union_v9,claude-sonnet-4-6,AW,keep,TECH.DLT,,,,research,considering,considering,considering,TECH.DLT,,False
V9-00027,the public sector should pass a law making the digital florin a legal tender,the public sector should pass a law making the digital florin a legal tender,AML.FATF,proposal,neutral,not_applicable,2,AW_ARU_001,120,llm_union_v9,claude-sonnet-4-6,AW,keep,AML.FATF,,,,research,considering,considering,considering,AML.FATF,,False
V9-00028,"The digital florin should be interoperable with the existing domestic financial infrastructure. Furthermore, PSPs and banks should supply digital florin payment services on different platforms and technologies than currently exist.","The digital florin should be interoperable with the existing domestic financial infrastructure. Furthermore, PSPs and banks should supply digital florin payment services on different platforms and technologies than currently exist.",KYC.INTERMED,proposal,neutral,not_applicable,2,AW_ARU_001,119,llm_union_v9,claude-sonnet-4-6,AW,keep,KYC.INTERMED,,,,research,considering,considering,considering,KYC.INTERMED,,False
V9-00029,"For a retail digital florin, this principle implies that the government should initially consider setting security requirements at some level of abstraction and let experts propose periodic updates.","For a retail digital florin, this principle implies that the government should initially consider setting security requirements at some level of abstraction and let experts propose periodic updates.",TECH.PROG,proposal,neutral,not_applicable,1,AW_ARU_001,119,llm_union_v9,claude-sonnet-4-6,AW,keep,OTHER.keep,consideration,the government should initially consider setting security requirements at some level of abstraction and let experts propose periodic updates,0.75,research,considering,considering,considering,OTHER.keep,,False
V9-00030,"In 2019, the Central Bank of Aruba (CBA) conducted a feasibility study on a local wholesale CBDC called the digital florin (CBA, 2019b). The main conclusion of this study is that a wholesale CBDC is feasible from a monetary, regulatory, institutional, and technical perspective, contingent on several stringent preconditions.","In 2019, the Central Bank of Aruba (CBA) conducted a feasibility study on a local wholesale CBDC called the digital florin. The main conclusion is that a wholesale CBDC is feasible from a monetary, regulatory, institutional, and technical perspective, contingent on several stringent preconditions.",TECH.ARCH.account,decision,neutral,not_applicable,2,AW_ARU_001,93,llm_union_v9,claude-sonnet-4-6,AW,drop,,exploratory_status,,0.78,research,considering,considering,considering,,,False
V9-00031,offline abilities (to have an advantage over commercial bank money),Offline abilities (to have an advantage over commercial bank money).,PRIV.OFF,proposal,increases,from_intermediary,2,AW_ARU_001,93,llm_union_v9,claude-sonnet-4-6,AW,keep,PRIV.OFF,,,,research,considering,considering,considering,PRIV.OFF,,False
V9-00032,a one-to-one conversion between commercial bank deposits and CBDC (to be at least as attractive as commercial bank money),A one-to-one conversion between commercial bank deposits and CBDC (to be at least as attractive as commercial bank money).,TECH.ARCH.account,proposal,neutral,not_applicable,2,AW_ARU_001,93,llm_union_v9,claude-sonnet-4-6,AW,keep,OTHER.keep,consideration,A one-to-one conversion between commercial bank deposits and CBDC (to be at least as attractive as commercial bank money).,0.75,research,considering,considering,considering,OTHER.keep,,False
V9-00033,"this policy paper advises to forgo cross-border payments as significant digital florin outflows may, in the future, lead to considerable foreign exchange outflows.","This policy paper advises to forgo cross-border payments as significant digital florin outflows may, in the future, lead to considerable foreign exchange outflows.",TECH.ARCH.account,proposal,neutral,not_applicable,2,AW_ARU_001,93,llm_union_v9,claude-sonnet-4-6,AW,keep,OTHER.keep,commitment,"advises to forgo cross-border payments as significant digital florin outflows may, in the future, lead to considerable foreign exchange outflows",0.8,research,considering,considering,considering,OTHER.keep,,False
V9-00034,"Users cannot conduct high-value transactions by putting a cap on CBDC holdings, mitigating sizeable potential outflows from commercial bank deposits to CBDC holdings.","Users cannot conduct high-value transactions by putting a cap on CBDC holdings, mitigating sizeable potential outflows from commercial bank deposits to CBDC holdings.",AML.LIMIT,proposal,neutral,not_applicable,2,AW_ARU_001,116,llm_union_v9,claude-sonnet-4-6,AW,keep,AML.LIMIT,,,,research,considering,considering,considering,AML.LIMIT,,False
V9-00035,"by skipping remuneration on CBDC deposits, commercial bank deposits remain relatively appealing.","By skipping remuneration on CBDC deposits, commercial bank deposits remain relatively appealing.",TECH.PROG,proposal,neutral,not_applicable,2,AW_ARU_001,116,llm_union_v9,claude-sonnet-4-6,AW,keep,PROG.remuneration,consideration,"By skipping remuneration on CBDC deposits, commercial bank deposits remain relatively appealing.",0.85,research,considering,considering,considering,PROG.remuneration_no,,False
V9-00036,One control proposed is limiting the amount of CBDC that any individual can possess.,One control proposed is limiting the amount of CBDC that any individual can possess.,AML.LIMIT,proposal,neutral,not_applicable,2,AW_ARU_001,116,llm_union_v9,claude-sonnet-4-6,AW,keep,AML.LIMIT,,,,research,considering,considering,considering,AML.LIMIT,,False
V9-00037,"In the case of an interest-bearing CBDC, one alternative restriction would be a remuneration rate of zero for holdings over a particular level.","In the case of an interest-bearing CBDC, one alternative restriction would be a remuneration rate of zero for holdings over a particular level.",AML.LIMIT,proposal,neutral,not_applicable,2,AW_ARU_001,116,llm_union_v9,claude-sonnet-4-6,AW,keep,AML.LIMIT,,,,research,considering,considering,considering,AML.LIMIT,,False
V9-00038,"To somewhat attenuate cybersecurity risks, strict privacy policies may create and store less sensitive data. As a result, potential attackers have fewer incentives to breach the system of central banks and PSPs.","To somewhat attenuate cybersecurity risks, strict privacy policies may create and store less sensitive data. As a result, potential attackers have fewer incentives to breach the system of central banks and PSPs.",PRIV.MIN,proposal,increases,from_state,2,AW_ARU_001,116,llm_union_v9,claude-sonnet-4-6,AW,keep,PRIV.MIN,,,,research,considering,considering,considering,PRIV.MIN,,False
V9-00039,"a retail CBDC can decrease the hazardous effects of cash only if adoption is widespread. Thus, CBDC needs attractive features, such as offline capabilities, permissioned DLT, some degree of privacy, and a one-to-one conversion between commercial bank deposits and CBDC","A retail CBDC can decrease the hazardous effects of cash only if adoption is widespread. Thus, CBDC needs attractive features, such as offline capabilities, permissioned DLT, some degree of privacy, and a one-to-one conversion between commercial bank deposits and CBDC.",TECH.DLT,proposal,neutral,not_applicable,2,AW_ARU_001,115,llm_union_v9,claude-sonnet-4-6,AW,keep,TECH.DLT,,,,research,considering,considering,considering,TECH.DLT,,False
V9-00040,"Instead of running the retail payment system themselves, central banks can better foster competition if they task the private sector to do it. This choice would be consistent with either an indirect or a hybrid CBDC","Instead of running the retail payment system themselves, central banks can better foster competition if they task the private sector to do it. This choice would be consistent with either an indirect or a hybrid CBDC.",KYC.INTERMED,proposal,neutral,not_applicable,2,AW_ARU_001,115,llm_union_v9,claude-sonnet-4-6,AW,keep,KYC.INTERMED,,,,research,considering,considering,considering,KYC.INTERMED,,False
V9-00041,"this policy paper urges a cap on digital florin holdings and a non-interest-bearing CBDC. These measures prevent large outflows from commercial bank deposits to digital florins, also easing concerns of (unlikely) runs on Aruban banks.","this policy paper urges a cap on digital florin holdings and a non-interest-bearing CBDC. These measures prevent large outflows from commercial bank deposits to digital florins, also easing concerns of (unlikely) runs on Aruban banks.",AML.LIMIT,proposal,neutral,not_applicable,3,AW_ARU_001,118,llm_union_v9,claude-sonnet-4-6,AW,keep,AML.LIMIT,,,,research,considering,considering,considering,AML.LIMIT,,False
V9-00042,"this policy paper advises, for the time being, against cross-border abilities, given significant monetary stability concerns.","this policy paper advises, for the time being, against cross-border abilities, given significant monetary stability concerns.",TECH.ARCH.account,proposal,neutral,not_applicable,2,AW_ARU_001,118,llm_union_v9,claude-sonnet-4-6,AW,keep,OTHER.keep,commitment,"this policy paper advises, for the time being, against cross-border abilities, given significant monetary stability concerns",0.82,research,considering,considering,considering,OTHER.keep,,False
V9-00043,"Retail digital florin designs that give weight to the principle of privacy may also be more secure. The line of thinking is that privacy-preserving digital florins limit the potential harm caused by cyberattacks, such as data exfiltration. After all, stricter privacy policies may create and store less sensitive data.","Retail digital florin designs that give weight to the principle of privacy may also be more secure. The line of thinking is that privacy-preserving digital florins limit the potential harm caused by cyberattacks, such as data exfiltration. After all, stricter privacy policies may create and store less sensitive data.",PRIV.MIN,proposal,increases,from_state,2,AW_ARU_001,118,llm_union_v9,claude-sonnet-4-6,AW,keep,PRIV.MIN,,,,research,considering,considering,considering,PRIV.MIN,,False
V9-00044,allowing for a permissioned DLT-based CBDC,allowing for a permissioned DLT-based CBDC,TECH.DLT,proposal,neutral,not_applicable,2,AW_ARU_001,118,llm_union_v9,claude-sonnet-4-6,AW,keep,TECH.DLT,,,,research,considering,considering,considering,TECH.DLT,,False
V9-00045,One valid advantage in the local context is the reduced ill effects of cash usage.,One valid advantage in the local context is the reduced ill effects of cash usage.,PRIV.BAL,proposal,decreases,from_state,1,AW_ARU_001,123,llm_union_v9,claude-sonnet-4-6,AW,keep,PRIV.BAL,,,,research,considering,considering,considering,PRIV.BAL,,False
V9-00046,Another justifiable benefit is fostering the transition from the unbanked to the banked and payment resilience.,Another justifiable benefit is fostering the transition from the unbanked to the banked and payment resilience.,NONE.irrelevant,proposal,neutral,not_applicable,1,AW_ARU_001,123,llm_union_v9,claude-sonnet-4-6,AW,drop,,generic_theory,,0.78,research,considering,considering,considering,,,False
V9-00047,This policy paper recommends offline features for payment resilience when there are power outages or network disruptions.,This policy paper recommends offline features for payment resilience when there are power outages or network disruptions.,PRIV.OFF,proposal,neutral,not_applicable,3,AW_ARU_001,117,llm_union_v9,claude-sonnet-4-6,AW,keep,PRIV.OFF,,,,research,considering,considering,considering,PRIV.OFF,,False
V9-00048,"The unbanked can access the digital florin by downloading a digital wallet on their smartphone, and top up their wallet balance with a cash deposit at the non-bank PSP.","The unbanked can access the digital florin by downloading a digital wallet on their smartphone, and top up their wallet balance with a cash deposit at the non-bank PSP.",KYC.INTERMED,proposal,neutral,from_intermediary,2,AW_ARU_001,117,llm_union_v9,claude-sonnet-4-6,AW,keep,KYC.INTERMED,,,,research,considering,considering,considering,KYC.INTERMED,,False
V9-00049,"this policy paper recommends four attractive digital florin features from the consumers' perspective. Such features are permissioned DLT (for smart contracts), some extent of privacy (to mimic the utility of cash and lower the entry to barrier into the digital banking system), offline abilities, and one-to-one conversion between commercial banks deposits and the digital florin","This policy paper recommends four attractive digital florin features: permissioned DLT (for smart contracts), some extent of privacy (to mimic the utility of cash and lower the entry barrier into the digital banking system), offline abilities, and one-to-one conversion between commercial bank deposits and the digital florin.",TECH.DLT,proposal,neutral,not_applicable,3,AW_ARU_001,117,llm_union_v9,claude-sonnet-4-6,AW,keep,TECH.DLT,,,,research,considering,considering,considering,TECH.DLT,,False
V9-00050,permissioned DLT (for smart contracts),permissioned DLT (for smart contracts),TECH.PROG,proposal,neutral,not_applicable,3,AW_ARU_001,117,llm_union_v9,claude-sonnet-4-6,AW,keep,PROG.generic,consideration,permissioned DLT (for smart contracts),0.72,research,considering,considering,considering,PROG.generic,,False
V9-00051,some extent of privacy (to mimic the utility of cash and lower the entry to barrier into the digital banking system),some extent of privacy (to mimic the utility of cash and lower the entry barrier into the digital banking system),PRIV.ANON,proposal,increases,from_state,2,AW_ARU_001,117,llm_union_v9,claude-sonnet-4-6,AW,keep,PRIV.ANON,,,,research,considering,considering,considering,PRIV.ANON,,False
V9-00052,"Enforce permissioned DLT, allow some extent of privacy, and stipulate one-to-one conversion between commercial banks deposits and CBDC.","Enforce permissioned DLT, allow some extent of privacy, and stipulate one-to-one conversion between commercial banks deposits and CBDC.",TECH.DLT,proposal,increases,not_applicable,2,AW_ARU_001,125,llm_union_v9,claude-sonnet-4-6,AW,keep,TECH.DLT,,,,research,considering,considering,considering,TECH.DLT,,False
V9-00053,Stipulate a three-tiered model.,Stipulate a three-tiered model.,KYC.TIER,proposal,neutral,not_applicable,2,AW_ARU_001,125,llm_union_v9,claude-sonnet-4-6,AW,keep,KYC.TIER,,,,research,considering,considering,considering,KYC.TIER,,False
V9-00054,"Relevant for cybersecurity: use existing risk management frameworks and regulations, provide some degree of privacy, regularly test the layers of the CBDC stack, ensure accountability, guarantee interoperability with the existing domestic financial infrastructure.","Relevant for cybersecurity: use existing risk management frameworks and regulations, provide some degree of privacy, regularly test the layers of the CBDC stack, ensure accountability, guarantee interoperability with the existing domestic financial infrastructure.",PRIV.BAL,decision,increases,not_applicable,2,AW_ARU_001,125,llm_union_v9,claude-sonnet-4-6,AW,keep,PRIV.BAL,,,,research,considering,considering,considering,PRIV.BAL,,False
V9-00055,Step 2a: Make the digital florin a legal tender.,Step 2a: Make the digital florin a legal tender.,NONE.irrelevant,decision,neutral,not_applicable,3,AW_ARU_001,125,llm_union_v9,claude-sonnet-4-6,AW,keep,LEGAL.basis,consideration,Make the digital florin a legal tender.,0.82,research,considering,considering,considering,LEGAL.basis,,False
V9-00056,"a retail CBDC with cross-border capabilities can provide cheaper and faster payments. However, this design is unadvisable as significant digital florin outflows may, in the future, lead to considerable foreign exchange outflows.","a retail CBDC with cross-border capabilities can provide cheaper and faster payments. However, this design is unadvisable as significant digital florin outflows may lead to considerable foreign exchange outflows.",TECH.ARCH.account,decision,neutral,not_applicable,3,AW_ARU_001,124,llm_union_v9,claude-sonnet-4-6,AW,keep,OTHER.keep,consideration,"a retail CBDC with cross-border capabilities can provide cheaper and faster payments. However, this design is unadvisable as significant digital florin outflows may lead to considerable foreign exchange outflows.",0.78,research,considering,considering,considering,OTHER.keep,,False
V9-00057,putting a cap on a CBDC holdings and making them non-interest bearing can reduce the likelihood of commercial bank disintermediation,putting a cap on CBDC holdings and making them non-interest bearing can reduce the likelihood of commercial bank disintermediation,AML.LIMIT,proposal,neutral,not_applicable,2,AW_ARU_001,124,llm_union_v9,claude-sonnet-4-6,AW,keep,AML.LIMIT,,,,research,considering,considering,considering,AML.LIMIT,,False
V9-00058,el boliviano digital ofrece la oportunidad de diseñar infraestructuras más seguras y resilientes que puedan mitigar estos riesgos desde su concepción,the digital boliviano offers the opportunity to design more secure and resilient infrastructures that can mitigate these risks from their conception,TECH.ARCH.account,proposal,increases,not_applicable,1,BO_BCB_Boliviano_Digital_2025,16,llm_union_v9,claude-sonnet-4-6,BO,drop,,generic_theory,,0.72,research,considering,considering,silent,,,False
V9-00059,"una Moneda Digital del Banco Central como un posible instrumento complementario para los pagos digitales en la economía, con potencial para fortalecer la soberanía monetaria, el sistema de pagos y facilitar el acceso a servicios financieros en todo el país","a Central Bank Digital Currency as a possible complementary instrument for digital payments in the economy, with potential to strengthen monetary sovereignty, the payment system and facilitate access to financial services throughout the country",TECH.ARCH.account,proposal,neutral,not_applicable,1,BO_BCB_Boliviano_Digital_2025,9,llm_union_v9,claude-sonnet-4-6,BO,keep,OTHER.keep,consideration,"a Central Bank Digital Currency as a possible complementary instrument for digital payments in the economy, with potential to strengthen monetary sovereignty, the payment system and facilitate access to financial services throughout the country",0.65,research,considering,considering,silent,OTHER.keep,,False
V9-00060,"se identifican oportunidades más claras en el fortalecimiento del sistema de pagos de alto valor, donde una CBDC mayorista permitiría optimizar la eficiencia, trazabilidad y seguridad en la liquidación de operaciones entre entidades financieras","clearer opportunities are identified in strengthening the high-value payment system, where a wholesale CBDC would allow optimising efficiency, traceability and security in the settlement of operations between financial entities",AML.MON,proposal,decreases,from_intermediary,2,BO_BCB_Boliviano_Digital_2025,9,llm_union_v9,claude-sonnet-4-6,BO,keep,AML.MON,,,,research,considering,considering,silent,AML.MON,,False
V9-00061,"Esta orientación aparece, por tanto, como una alternativa que podría aportar más al estado actual del ecosistema financiero nacional",This orientation therefore appears as an alternative that could contribute more to the current state of the national financial ecosystem,NONE.irrelevant,proposal,neutral,not_applicable,1,BO_BCB_Boliviano_Digital_2025,9,llm_union_v9,claude-sonnet-4-6,BO,drop,,generic_theory,,0.62,research,considering,considering,silent,,,False
V9-00062,"también se deben considerar los riesgos operativos, regulatorios y tecnológicos, así como los desafíos asociados a la ciberseguridad y la protección de datos, priorizando ventajas para los usuarios","operational, regulatory and technological risks must also be considered, as well as challenges associated with cybersecurity and data protection, prioritising advantages for users",PRIV.MIN,proposal,increases,from_state,2,BO_BCB_Boliviano_Digital_2025,9,llm_union_v9,claude-sonnet-4-6,BO,keep,PRIV.MIN,,,,research,considering,considering,silent,PRIV.MIN,,False
V9-00063,"el proceso de implementación debe desarrollarse de manera gradual, incluyendo consultas públicas y pruebas piloto controladas","the implementation process must be developed gradually, including public consultations and controlled pilot tests",NONE.irrelevant,proposal,neutral,not_applicable,1,BO_BCB_Boliviano_Digital_2025,9,llm_union_v9,claude-sonnet-4-6,BO,keep,PROC.pilot_learning,consideration,"the implementation process must be developed gradually, including public consultations and controlled pilot tests",0.85,research,considering,considering,silent,PROC.pilot_learning,,False
V9-00064,"el boliviano digital propuesto sería un pasivo emitido por el Banco Central de forma electrónica, con las mismas características de la moneda de curso legal, respaldada por la autoridad monetaria.","The proposed digital boliviano would be a liability issued by the Central Bank electronically, with the same characteristics as legal tender, backed by the monetary authority.",TECH.ARCH.account,proposal,neutral,not_applicable,3,BO_BCB_Boliviano_Digital_2025,34,llm_union_v9,claude-sonnet-4-6,BO,keep,OTHER.keep,commitment,"The proposed digital boliviano would be a liability issued by the Central Bank electronically, with the same characteristics as legal tender, backed by the monetary authority.",0.8,research,considering,considering,silent,OTHER.keep,,False
