jur,doc_id,year,stage,stage_final,confidence,evidence
GH,GH_Ghana_2023,2023.0,pilot,pilot,0.97,A REPORT ON BANK OF GHANA'S CENTRAL BANK DIGITAL CURRENCY PILOT PROJECT THE eCEDI REPORT ... 3.0 Phase 3 Field Testing of the eCedi 18 / 3.1 Online Pilot 19 / 3.2 Offline Pilot 20 ... eCedi to outside digital – participants used eCedi for payment to a merchant or someone else with eCedi
TH,TH_Thailand_rCBDC_Conclusion_Report,2024.0,pilot,pilot,0.92,"Pilot Program - Retail CBDC Conclusion Report | 3 — Pilot Findings | Pilot: The phase of product testing with real end-users, to determine if carrying out the project at full scale is feasible."
ID,ID_Indonesia_2024,2024.0,research,paused_research,0.99,"Wholesale Rupiah Digital Proof of Concept (PoC) Report ... Project Garuda: Proof of Concept (PoC) Report Wholesale Rupiah Digital Cash Ledger ... In the proof of concept (PoC), the R3 Corda network comprises 1 (one) Bank Indonesia node cluster and 3 (three) wholesaler bank clusters."
SZ,SZ_Eswatini_2024-Fintech-Digital-Lilangeni-Design-Paper,2024.0,research,paused_research,0.95,The Digital Lilangeni could potentially serve as a retail or general purpose CBDC for domestic payment transactions... it should be noted that the CBE has not yet made a decision regarding the issuance of CBDC.
AW,AW_ARU_001,2024.0,research,paused_research,0.2,"© Centrale Bank van Aruba 2024. All rights reserved... Governing from the future, leading with inclusion: Policies, prospects, and pathways for Aruba 2040"
JP,JP_BoJ_Pilot_JP,2024.0,research,paused_research,0.95,2023年４月からは、概念実証では検証していない技術的検証を行うことと、検証に有用な民間事業者の技術や知見を反映させることを目的として「パイロット実験」を進めている。パイロット実験は、「実験用システムの構築と検証」と「CBDCフォーラム」の２本の柱から成る。／わが国でCBDCを導入するかどうかは、現時点では決定しておらず、今後の国民的議論のなかで決まっていくものだが、日本銀行としては、議論の前提となるように、CBDCに関する検討を引き続きしっかりと進めてまいりたい。
IN,IN_RBI_2025,2025.0,pilot,pilot,0.97,"Usage of e₹ is currently being pilot tested in the form of some studies in the country. The pilot is being tried in the Retail (public) and Wholesale (bank and other institutions) segments. [...] The e₹ issuance, distribution, and usage within the retail segment (for members of the public) is live in pilot mode with effect from December 1, 2022. The users and merchants of identified pilot banks and non-banks across the country can use e₹."
BO,BO_BCB_Boliviano_Digital_2025,2025.0,research,active_research,0.85,Primer Informe del Boliviano Digital (Moneda Digital de Banca Central) — Mes y año de publicación: Octubre de 2025
IL,IL_Israel_#U05d0#U05e8#U05db#U05d9#U05d8#U05e7#U05d8#U05d5#U05e8#U05d4-#U05dc#U05d5#U05d2#U05d9#U05ea-#U05d0#U05e0#U05d2#U05dc#U05d9#U05ea.pdf,,research,active_research,0.97,"The Bank of Israel Steering Committee on the Potential Issuance of a Digital Shekel — Logical Architecture for the Digital Shekel System, March 2024. The sequence diagrams presented in this document are for purposes of illustration only and do not reflect the final design of the business and technological process."
HU,HU_Hungary_2025,2025.0,pilot,pilot,0.95,"The MNB's pilot project involving real users offers a unique experience on the road to widespread adoption of central bank digital currency... pilot programmes that can be developed with essentially little effort and short preparation time can play an important role. They are fully functional but operate with a small number of users... With the creation of the Student Safe programme, the MNB has joined the narrow community of central banks who already have real experience regarding a live retail central bank digital currency... To date, this was the only widely available retail central bank digital currency pilot project in the European Union."
UN,UN_ESCAP_9919dd3a_2023,,not_applicable,not_applicable,1.0,institutional composite
RU,RU_Russia_digital_ruble_30062025,2025.0,pilot,pilot,0.97,"в августе 2023 г. началось пилотирование платформы на реальных деньгах... В настоящее время ключевым направлением развития цифрового рубля является масштабирование пилотного проекта – поэтапное увеличение числа участников и пользователей пилота, а также расширение перечня доступных сервисов."
TT,TT_CBTT_WP02_2025,2025.0,research,active_research,0.95,Domestic efforts consist of research that has focused on assessing the implications of a Central Bank of Trinidad and Tobago (CBTT) issued CBDC (2018-2020) and stablecoins (2021).
RW,RW_Rwanda_CBDC_Ideathon,2025.0,research,active_research,0.99,"The National Bank of Rwanda is currently investigating the potential of a Central Bank Digital Currency (CBDC) in a Proof-of-Concept (POC) project... The NBR did not make any decision yet whether or not to issue a CBDC in Rwanda but is in the process of studying technical, legal and other key components of its feasibility."
NZ,NZ_RBNZ_CBDCIssuesPaper_2021,,research,active_research,0.99,An issues paper inviting public feedback before 6 December 2021
SE,SE_Riksbank_2017,,research,active_research,0.99,The conclusion drawn by the project from the contents on this report is that the Riksbank will need to continue to investigate questions related to the e-krona. Much remains to be studied and decided on. The Riksbank wishes to discuss the ideas concerning the development of the payment market presented in the report with the parties concerned both regularly and in special dialogue meetings in the near future.
AE,AE_UAE_001,2025.0,pilot,pilot,0.85,"In January 2024, the first Digital Dirham as legal tender was issued on the issuance platform... During the same time, the CBUAE also carried out a real-value retail pilot to evaluate the future design, technology and advantages of the Digital Dirham... Aside from completing the first issuance of the Digital Dirham and the retail CBDC pilot in early 2024... In the coming years, the CBUAE will advance preparations for the full launch of both the retail, wholesale and cross-border versions of the Digital Dirham."
UK,UK_BoE_2020_OpportChall,,research,active_research,0.99,"Discussion Paper: Central Bank Digital Currency Opportunities, challenges and design March 2020"
US,US_NYFed_CedarPhaseOne_2022,,research,active_research,0.99,"Project Cedar is a multiphase research effort to develop a technical framework for a theoretical wCBDC, conducted by the NYIC in conjunction with subject matter experts throughout the New York Fed. This research will explore fundamental design choices and modular technical features. [...] Phase I was a successful twelve-week undertaking demonstrating the viability of this technology to enable instant and atomic settlement in a simulated foreign exchange (FX) spot transaction between the New York Fed and counterparties across separate, homogeneous ledgers. [...] The report is not intended to advance any specific policy outcome, nor to signal that the Federal Reserve will make any imminent decisions about the appropriateness of issuing a retail or wholesale CBDC, nor to offer an indication of how one would necessarily be designed."
NA,NA_BoN_2022,2022.0,research,paused_research,0.99,"This Consultation Paper flags the key considerations, benefits, and risks related to a Central Bank Digital Currency (CBDC) and seeks consultation and input towards any future course the Bank of Namibia may to pursue in this area. [...] the BoN will consider engaging a CBDC Technical Consultant/Subject Matter Expert that will assist the Bank in enriching the process of crafting the BoN CBDC Roadmap by providing the following: development of BoN CBDC body of knowledge by further developing the current Consultation Paper and consolidating stakeholders' views, a preliminary concept design of a potential Namibian CBDC, legislative gap analysis exercise, stakeholder engagement approach and plan and a proof of concept (POC) approach and plan, if required."
ECCU,ECCU_ECCB_DCash2_Survey_2024,2024.0,research,paused_research,0.85,"Building on the lessons learned from the DCash pilot, this next-generation platform is designed to enhance financial inclusion and empower digital payment innovation across the ECCU."
CN,CN_PBOC_IntlOpsCenter_2025,2025.0,pilot,pilot,0.82,"The e-CNY International Operation Center was established and is managed by the Digital Currency Institute of the PBOC. It is responsible for constructing and operating the cross-border and blockchain infrastructure for e-CNY, promoting cross-border interconnectivity between domestic and overseas financial infrastructures, advancing the international operation and financial market development related to e-CNY... marking the official launch of the e-CNY International Operation Center."
UA,UA_NBU_eHryvnia_page_2025,2025.0,research,active_research,0.82,"The NBU is considering and processing the following possible options for using the e-hryvnia that will shape its design and main features... In September 2021, the NBU launched the E-Hryvnia Project in order to determine the need for a full-scale issue of the Ukrainian digital hryvnia."
SG,SG_MAS_Orchid_page_2025,2025.0,research,active_research,0.85,"Project Orchid is a multi-year, multi-phase exploratory project examining the various design and technical aspects pertinent to digital Singapore dollar, from its functionalities to its interaction with existing payment infrastructures. Though MAS has assessed that there is no urgent need for a retail CBDC in Singapore at this point in time, MAS seeks to facilitate ongoing learning and advance the financial infrastructure in Singapore."
HK,HK_HKMA_eHKD_Phase2_2025,2025.0,pilot,pilot,0.93,e-HKD Pilot Programme Phase 2 Report... Copyright © Hong Kong Monetary Authority | October 2025
NO,NO_NB_FI2024_CBDC,2024.0,research,paused_research,0.99,"In 2023, Norges Bank completed the fourth phase of its research on CBDCs. This phase consisted of experimental testing of technical solutions, analyses of scenarios for the payment system, the evaluation of consequences for liquidity management and monetary policy and a review of the legislative changes necessary for an introduction of CBDC. The fifth phase will conclude in 2025. The research project will provide a decision basis for, and an assessment of, whether Norges Bank should work to introduce a CBDC, and if so, the type of design."
FR,FR_BdF_DigitalEuro_page_2025,2025.0,research,active_research,0.97,"On 29 October 2025, the Governing Council of the ECB decided to open a new phase of the digital euro project, aimed at preparing technically for a potential launch. Depending on the outcome of ongoing legislative discussions, a 'pilot' could be conducted as early as mid-2027, with a gradual launch starting from 2029. No decision to issue has yet been taken — it requires the finalised legal framework."
EU,EU_ECB_ThirdProgress_2025,2025.0,research,active_research,0.99,"On 1 November 2023 a two-year preparation phase was launched to lay the groundwork for the potential issuance of a digital euro. The primary objectives during this phase include providing a draft digital euro scheme rulebook, selecting potential providers for the digital euro platform and infrastructure, and conducting further experimentation and stakeholder consultations to ensure a digital euro would meet the highest standards of quality, security, privacy and usability. This report summarises the progress of the digital euro project from November 2024 to April 2025, confirming that key milestones and deliverables remain on track."
BS,BS_CBOB_SandDollar_Updates_2025,2025.0,live,live,0.3,"The Central Bank of The Bahamas press release archive (2025-2026) contains no announcements of CBDC cancellation, pilot launch, or new research initiation, consistent with the Sand Dollar having been in live public operation since its 2020 launch with no reversal evidenced in these documents."
