code,family,label,definition,code_when,dont_code_when
KYC.IDV,KYC,Identity verification (onboarding),"Mechanismy ověření totožnosti při onboardingu — eKYC, video ID, biometrie, government ID.","Pasáž popisuje, jak se uživatel identifikuje při založení CBDC wallet/účtu.",Authentication během transakcí bez vazby na onboarding.
KYC.INTERMED,KYC,"Role intermediářů (PSPs, banky)","Role autorizovaných zprostředkovatelů (banky, PSPs) při KYC vs. role centrální banky — typicky two-tier / indirect distribution model.","Pasáž popisuje, kdo provádí KYC (intermediář vs. centrální banka), distribution model.",Obecná zmínka 'banks' bez vazby na KYC roli.
TECH.DLT,TECH,DLT vs. centralizovaný ledger,"Volba mezi distributed ledger technology (blockchain, DLT) a centralizovaným systémem.","Pasáž explicitně diskutuje volbu DLT/blockchain vs. centrální databáze nebo uvádí zvolenou ledger architekturu pro vlastní CBDC.","Token/account reprezentace bez explicitního tvrzení o distribuci ledgeru nebo DLT/blockchain architektuře."
TECH.TOKEN.decided_yes,TECH,Token architektura — rozhodnuto ANO,Dokument ROZHODUJE pro token-based (bearer) architekturu; nikoli pouhé zvažování.,"Emitent explicitně volí token-based, bearer nebo value-based reprezentaci.","Zmínka o DLT, blockchainu nebo kryptografických tokenech bez rozhodnutí token-versus-account."
TECH.TOKEN.decided_no,TECH,Token architektura — rozhodnuto NE,Dokument ROZHODUJE proti token-based (tj. account-based); nikoli pouhé zvažování.,"Emitent explicitně odmítá token-based reprezentaci nebo volí account-based reprezentaci.","Zmínka o centralizovaném ledgeru bez explicitního rozhodnutí token-versus-account."
TECH.TOKEN.considered,TECH,Token vs. account — zvažováno,Architektura token/account diskutována či testována bez rozhodnutí.,"Token-versus-account reprezentace je porovnávána, diskutována nebo testována bez konečného rozhodnutí.","DLT/blockchain je diskutován bez vazby na token-versus-account reprezentaci."
PROG.remuneration_yes,PROG,Úročení — závazek ano,Explicitní závazek CBDC úročit.,,
PROG.remuneration_no,PROG,Úročení — odmítnuto,Explicitní rozhodnutí neúročit (zero remuneration).,,
PROG.remuneration_considered,PROG,Úročení — zvažováno,"Úročení diskutováno jako možnost, bez závazku.",,
PROG.restriction,PROG,Programová omezení použití,"Programovatelnost jako OMEZENÍ užití prostředků (účel, čas, místo, příjemce) — signál state control.",,
PROG.generic,PROG,Programovatelnost — obecně,"Obecná programovatelnost a pravidla chování CBDC platby bez restrikční povahy; zahrnuje smart contracts, podmíněné platby a autorem zahrnuté consumer-protection flows.","Pasáž popisuje programovatelné nebo podmíněné payment logic; v této studii také explicitní CBDC pravidla pro potvrzení, storno nebo vrácení platby.","Pouhá obecná procedura nebo právní ochrana bez vazby na chování CBDC platby."
PROC.pilot_learning,PROC,Procesní poznatky z pilotů,Provozní/testovací poznatky; nevstupuje do měr.,"Empirický provozní nebo technický poznatek z uskutečněného CBDC pilotu či testu.","Budoucí proces, právní procedura nebo designové pravidlo bez výsledku pilotu."
LEGAL.basis,LEGAL,Právní základ,Legislativní rámec a mandát; nevstupuje do měr.,,
INST.mandate,INST,Institucionální mandát,"Role institucí, governance; nevstupuje do měr.",,
OTHER.keep,OTHER,Validní výrok mimo rodiny,Design-relevantní výrok mimo rodiny; nevstupuje do měr.,,
INTEROP.domestic,INTEROP,Domestic convertibility & integration,"Domestic convertibility & integration: par with bank money, fund/defund, settlement, wholesale/interbank",,
INTEROP.crossborder,INTEROP,Cross-border,"Cross-border: mCBDC, corridors, remittances, FX",,
CASH.relation,CASH,Relationship to cash,"Relationship to cash: complement/substitute, coexistence, conversion, legal tender",,
ACCESS.universal,ACCESS,Universal access,"Universal access: no-account users, disabilities, rural, offline as reach",,
STAB.disintermediation,STAB,Financial stability,"Financial stability: deposits, balance sheets, lending",,
OPS.resilience,OPS,Operational resilience,"Operational resilience: cyber, continuity, fraud, availability",,
ADOPT.experience,ADOPT,Adoption & UX,"Adoption & UX: convenience, merchants, fees, incentives, use cases",,
SYS.design,SYS,Core system design & operating model,"Core system design & operating model: issuance, operator roles, components, wallet parameters",,
